"","predictor_Gaussian","estimate_Gaussian","t-value_Gaussian","predictor_T","estimate_T","t-value_T","predictor_ALD","estimate_ALD","t-value_ALD","predictor_Bimodal","estimate_Bimodal","t-value_Bimodal","predictor_Skew","estimate_Skew","t-value_Skew","predictor_Mixed","estimate_Mixed","t-value_Mixed"
"29","II0.9:RR5",9,15.1,"II0.9:RR5",6,10.8,"II0.9:RR5",8,12.3,"II0.9:RR5",6,9.4,"II0.9:RR5",7,11.5,"II0.9:RR5",6,9.6
"30","II0.5:RR10",13,18.4,"II0.5:RR10",5,7.7,"II0.5:RR10",5,7.2,"II0.5:RR10",12,16.9,"II0.5:RR10",8,11.6,"II0.5:RR10",10,13.3
"31","II0.9:RR10",17,28.3,"II0.9:RR10",13,21.8,"II0.9:RR10",12,18.6,"II0.9:RR10",15,24.8,"II0.9:RR10",14,22.6,"II0.9:RR10",12,19.2
"32","II0.5:anlDP_diffuse",0,0.3,"II0.5:anlDP_diffuse",0,0.2,"II0.5:anlDP_diffuse",0,0.2,"II0.5:anlDP_diffuse",0,-0.3,"II0.5:anlDP_diffuse",0,-0.2,"II0.5:anlDP_diffuse",0,-0.2
"33","II0.9:anlDP_diffuse",0,0,"II0.9:anlDP_diffuse",0,0,"II0.9:anlDP_diffuse",0,-0.7,"II0.9:anlDP_diffuse",0,-0.7,"II0.9:anlDP_diffuse",-1,-0.9,"II0.9:anlDP_diffuse",-1,-1.3
"34","II0.5:anlDP_Inform",0,0.6,"II0.5:anlDP_Inform",0,0.3,"II0.5:anlDP_Inform",0,0.6,"II0.5:anlDP_Inform",0,0.3,"II0.5:anlDP_Inform",0,-0.1,"II0.5:anlDP_Inform",1,0.7
"35","II0.9:anlDP_Inform",0,0.5,"II0.9:anlDP_Inform",0,0.3,"II0.9:anlDP_Inform",0,-0.4,"II0.9:anlDP_Inform",0,-0.1,"II0.9:anlDP_Inform",0,-0.5,"II0.9:anlDP_Inform",0,-0.2
"36","II0.5:estCB",0,0,"II0.5:estCB",0,0,"II0.5:estCB",0,0,"II0.5:estCB",0,0,"II0.5:estCB",0,0,"II0.5:estCB",0,0
"37","II0.9:estCB",0,0,"II0.9:estCB",0,0,"II0.9:estCB",0,0,"II0.9:estCB",0,0,"II0.9:estCB",0,0,"II0.9:estCB",0,0
"38","II0.5:estGR",0,-0.1,"II0.5:estGR",0,-0.5,"II0.5:estGR",0,-0.3,"II0.5:estGR",0,-0.2,"II0.5:estGR",0,-0.4,"II0.5:estGR",0,-0.3
"39","II0.9:estGR",0,-0.1,"II0.9:estGR",0,-0.3,"II0.9:estGR",0,-0.4,"II0.9:estGR",0,-0.3,"II0.9:estGR",0,-0.2,"II0.9:estGR",0,-0.5
"40","RR5:anlDP_diffuse",1,1,"RR5:anlDP_diffuse",0,0.5,"RR5:anlDP_diffuse",0,0.2,"RR5:anlDP_diffuse",0,0.6,"RR5:anlDP_diffuse",0,0.9,"RR5:anlDP_diffuse",0,-0.4
"41","RR10:anlDP_diffuse",1,1.4,"RR10:anlDP_diffuse",1,1,"RR10:anlDP_diffuse",0,0.3,"RR10:anlDP_diffuse",0,0.6,"RR10:anlDP_diffuse",1,1.3,"RR10:anlDP_diffuse",0,0.6
"42","RR5:anlDP_Inform",0,0.3,"RR5:anlDP_Inform",0,0.4,"RR5:anlDP_Inform",0,0.1,"RR5:anlDP_Inform",0,-0.2,"RR5:anlDP_Inform",0,0.4,"RR5:anlDP_Inform",0,-0.6
"43","RR10:anlDP_Inform",0,0.7,"RR10:anlDP_Inform",0,0.5,"RR10:anlDP_Inform",0,0.1,"RR10:anlDP_Inform",0,0.1,"RR10:anlDP_Inform",0,0.6,"RR10:anlDP_Inform",0,-0.1
"44","RR5:estCB",0,0,"RR5:estCB",0,0,"RR5:estCB",0,0,"RR5:estCB",0,0,"RR5:estCB",0,0,"RR5:estCB",0,0
"45","RR10:estCB",0,0,"RR10:estCB",0,0,"RR10:estCB",0,0,"RR10:estCB",0,0,"RR10:estCB",0,0,"RR10:estCB",0,0
"46","RR5:estGR",0,-0.2,"RR5:estGR",0,-0.2,"RR5:estGR",0,-0.6,"RR5:estGR",0,-0.3,"RR5:estGR",0,-0.3,"RR5:estGR",0,-0.4
"47","RR10:estGR",0,-0.4,"RR10:estGR",0,-0.4,"RR10:estGR",-1,-0.9,"RR10:estGR",0,-0.5,"RR10:estGR",0,-0.5,"RR10:estGR",-1,-0.9
"48","anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0
"49","anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0
"50","anlDP_diffuse:estGR",0,-0.3,"anlDP_diffuse:estGR",0,-0.4,"anlDP_diffuse:estGR",0,-0.2,"anlDP_diffuse:estGR",0,-0.3,"anlDP_diffuse:estGR",0,-0.1,"anlDP_diffuse:estGR",0,-0.3
"51","anlDP_Inform:estGR",0,-0.2,"anlDP_Inform:estGR",0,-0.2,"anlDP_Inform:estGR",0,-0.1,"anlDP_Inform:estGR",0,-0.1,"anlDP_Inform:estGR",0,-0.2,"anlDP_Inform:estGR",0,-0.2
